公司,代號,產業,族群,子族群,供應鏈位置,主要業務,供應對象,備註
旺宏,2337,半導體,記憶體,IDM自有產能,中游,ROM、NOR/NAND Flash製造,封測;系統／伺服器,全球最大ROM製造商，NOR Flash占營收59%
群聯,8299,半導體,記憶體,Fabless IC設計,中游,NAND快閃記憶體控制IC,記憶體;系統／伺服器,依使用者指示由IC設計族群併入記憶體族群。控制IC銷售予NAND原廠，也自組NAND模組銷售給系統廠
鈺創,5351,半導體,記憶體,Fabless IC設計,中游,利基型DRAM、3D視覺IC,系統／伺服器,依使用者指示由IC設計族群併入記憶體族群
愛普*,6531,半導體,記憶體,Fabless IC設計,中游,客製化記憶體IC、IP授權,系統／伺服器;封測,依使用者指示由IC設計族群併入記憶體族群。亦屬：IP／ASIC（提供CoWoS用Interposer IP授權）
晶豪科,3006,半導體,記憶體,Fabless IC設計,中游,利基型DRAM、Flash記憶體IC,系統／伺服器,依使用者指示由IC設計族群併入記憶體族群
日月光投控,3711,半導體,封測,邏輯·記憶體封測,下游,IC封裝、測試、電子代工(EMS),系統／伺服器,亦屬：系統／伺服器（EMS電子代工占營收45.57%，規模已與封測相當）
力成,6239,半導體,封測,邏輯·記憶體封測,下游,記憶體封裝測試、先進封裝(HBM),系統／伺服器,全球記憶體封測龍頭，切入HBM及FOPLP
京元電子,2449,半導體,封測,邏輯·記憶體封測,下游,晶圓測試(CP)、成品測試(FT),系統／伺服器,全球最大專業測試廠，僅提供測試不涉及封裝
頎邦,6147,半導體,封測,驅動IC封測,下游,驅動IC、非驅動IC封裝測試,系統／伺服器,亦屬：光通訊（跨足矽光子TIA/PD/驅動IC覆晶封裝測試，切入CPO供應鏈）
南茂,8150,半導體,封測,驅動IC封測,下游,記憶體、LCD/OLED驅動IC封測,系統／伺服器,全球前10大封測廠
訊芯-KY,6451,半導體,封測,模組·SiP,下游,SiP封裝測試、高速光收發模組,系統／伺服器;光通訊,亦屬：光通訊（2024年光收發模組營收占比54%已超越SiP封裝本業，並布局CPO矽光子）
旺矽,6223,半導體,測試介面,探針·探針卡,上游,晶圓探針卡、半導體測試設備,晶圓代工;封測,亦屬：半導體設備（光電/半導體自動化設備業務約占營收30%）
中探針,6217,半導體,測試介面,探針·探針卡,上游,精密測試探針(Pogo Pin)、探針卡,晶圓代工;封測,亦屬：電源／電池／連接（Pogo Pin技術延伸至車用800V快充連接應用）
雍智科技,6683,半導體,測試介面,測試板·測試座,上游,IC測試載板、老化測試板、探針卡,晶圓代工;封測,聚焦AI ASIC測試需求
穎崴,6515,半導體,測試介面,測試板·測試座,上游,測試座、精密彈簧針、探針卡,晶圓代工;封測,使用者原名單誤植為「穎威」，查證後正確股票名稱為「穎崴」(6515)，已更正
汎銓,6830,半導體,檢測分析,,中游,半導體材料分析(MA)服務,IC設計;晶圓代工;封測,MA(材料分析)營收占比逾80%，與台積電合作緊密
閎康,3587,半導體,檢測分析,,中游,半導體材料/故障/可靠度分析,IC設計;晶圓代工;封測,業務分MA/FA/RA三類
宜特,3289,半導體,檢測分析,,中游,半導體失效/可靠度/材料分析,IC設計;晶圓代工;封測,台灣第一家半導體驗證公司
辛耘,3583,半導體,半導體設備,,上游,濕製程設備、晶圓再生、設備代理,晶圓代工;封測,代理業務占營收逾6成，自製設備約4成
印能科技,7734,半導體,半導體設備,,上游,先進封裝除泡設備、老化測試機,封測,先進封裝貢獻營收約8成，2025年上櫃
東捷,8064,半導體,半導體設備,,上游,AOI光學檢測、雷射修補、真空設備,封測,目前營收主力仍是LCD/面板檢測設備，正轉型半導體先進封裝，占比逐年提升
雷科,6207,半導體,半導體設備,,上游,雷射精密加工設備、探針卡、SMT設備,封測;測試介面,亦屬：測試介面（設備營收占比已逾5成，另兼營測試探針卡設計銷售）
創新服務,7828,半導體,半導體設備,,上游,半導體自動化設備,半導體設備,亦屬：自動化／機械。2026年上櫃，官方產業別即為半導體業（原「完全待查」，Step 1已查證確認分類，本次規則未覆寫，維持此分類）
全新,2455,化合物半導體／光通訊,光通訊,,上游,砷化鎵/磷化銦光電磊晶片,,英文正式名為Visual Photonics Epitaxy(VPEC)，非WIN Semiconductors（該英文名對應3105穩懋）。依指示與其餘12家合併為單一「光通訊」族群，族群內互供不重複列出
聯亞,3081,化合物半導體／光通訊,光通訊,,上游,InP/GaAs雷射磊晶片,,主攻資料中心100G/400G高速模組用雷射磊晶片
IET-KY,4971,化合物半導體／光通訊,光通訊,,上游,MBE砷化鎵/磷化銦磊晶片,,正式名IntelliEPI，採MBE技術，總部美國德州
環宇-KY,4991,化合物半導體／光通訊,光通訊,,中游,光電元件(PD)+化合物晶圓代工,,自有光電元件(KGD/PD)占營收61.5%，800G PD全球市占第一
穩懋,3105,化合物半導體／光通訊,光通訊,,中游,砷化鎵晶圓代工(HBT/pHEMT),,全球最大GaAs晶圓代工廠，市占約69.6%；英文名WIN Semiconductors
光環,3234,化合物半導體／光通訊,光通訊,,中游,VCSEL雷射、PIN檢光二極體,,
鼎元,2426,化合物半導體／光通訊,光通訊,,中游,LED/雷射二極體/光電晶體,,近年轉型Micro LED、CPO與高階光感測，感測元件占營收50-60%
統新,6426,化合物半導體／光通訊,光通訊,,上游,DWDM干涉濾光片、光學鍍膜元件,,光學薄膜濾光鍍膜元件，族群中較上游的關鍵材料供應商
波若威,3163,化合物半導體／光通訊,光通訊,,中游,WDM合分波器、光纖被動元件模組,網通設備,全球最大光纖被動元件ODM/OEM廠
光聖,6442,化合物半導體／光通訊,光通訊,,中游,光纖連接器、耦合器、衰減器,網通設備,
上詮,3363,化合物半導體／光通訊,光通訊,,中游,光纖跳線、連接器、分歧器、多工器,網通設備,光纖跳線占2024年營收79%，未來聚焦矽光子與CPO
前鼎,4908,化合物半導體／光通訊,光通訊,,下游,雷射/受光二極體封裝、光收發模組,網通設備;系統／伺服器,光收發模組占2024年營收96.17%
華星光,4979,化合物半導體／光通訊,光通訊,,下游,光收發模組、CPO共同封裝光學,網通設備;系統／伺服器,主力800G/1.6T高速光收發模組，具CPO開發能力
台玻,1802,PCB／載板／材料,板材上游,玻纖布,上游,玻璃纖維布(另有平板玻璃業務),銅箔基板,電子級玻纖布全球市占約40%，已通過NVIDIA認證；查無證據顯示自製CCL
富喬,1815,PCB／載板／材料,板材上游,玻纖布,上游,電子級玻璃纖維紗、玻纖布,銅箔基板,從礦石熔煉到織布垂直整合
德宏,5475,PCB／載板／材料,板材上游,玻纖布,上游,電子級玻璃纖維布,銅箔基板,營收96.7%來自玻纖布；公司登記業務範圍另提及印刷電路基層板，占比待確認
金居,8358,PCB／載板／材料,板材上游,銅箔,上游,電解銅箔(ED),銅箔基板,台灣前三大電解銅箔廠，客戶含台光電、聯茂
長興,1717,PCB／載板／材料,板材上游,樹脂·電子化學品,上游,合成樹脂、乾膜光阻、UV材料,銅箔基板;PCB,亞洲最大合成樹脂廠、全球前三大乾膜光阻供應商
國精化,4722,PCB／載板／材料,板材上游,樹脂·電子化學品,上游,UV光固化材料、不飽和聚酯樹脂,銅箔基板;PCB,
台光電,2383,PCB／載板／材料,銅箔基板,,中游,銅箔基板、黏合片、多層壓合板,PCB;IC 載板,全球CCL市占18.9%居冠
台燿,6274,PCB／載板／材料,銅箔基板,,中游,銅箔基板、黏合片、多層壓合板,PCB;IC 載板,
聯茂,6213,PCB／載板／材料,銅箔基板,,中游,銅箔基板、膠片、軟性銅箔基板,PCB;IC 載板,全球前五大CCL製造商
南亞,1303,PCB／載板／材料,銅箔基板,,中游,石化塑膠原料、玻纖布、銅箔、CCL,PCB;IC 載板,亦屬：石化上游；板材上游/玻纖布；板材上游/銅箔。塑膠/石化占營收約60%，電子材料約40%，為全球第二大CCL廠
欣興,3037,PCB／載板／材料,IC 載板,,下游,PCB、HDI、軟板、IC載板,封測;系統／伺服器,亦屬：PCB。IC載板三雄之一，全球市占18%，客戶含Nvidia/Google/Apple
景碩,3189,PCB／載板／材料,IC 載板,,下游,ABF載板、BT載板,封測,華碩集團旗下，ABF載板全球市占第六
南電,8046,PCB／載板／材料,IC 載板,,下游,ABF/BT IC載板、PCB,封測;系統／伺服器,亦屬：PCB。全球前三大ABF載板廠，IC載板占營收85%
金像電,2368,PCB／載板／材料,PCB,伺服器·高階板,中游,高層數伺服器/網通PCB製造,系統／伺服器,營收100%來自PCB，伺服器占比已升至約80%
博智,8155,PCB／載板／材料,PCB,伺服器·高階板,中游,高層數多層板/厚銅板PCB製造,系統／伺服器,專注伺服器與工業電腦(IPC)，HMLV經營模式
健鼎,3044,PCB／載板／材料,PCB,伺服器·高階板,中游,PCB硬板、HDI製造,系統／伺服器,全球前十大PCB廠，客戶含四大CSP、Tesla、Apple
臻鼎-KY,4958,PCB／載板／材料,PCB,軟板·HDI,中游,軟板、硬板、HDI、IC載板製造,系統／伺服器,亦屬：IC 載板。鴻海集團旗下全球最大PCB廠之一，已打入NVIDIA GB200供應鏈
定穎投控,3715,PCB／載板／材料,PCB,車用·多層板,中游,車用/顯示/網通PCB製造,系統／伺服器,投控公司，原以車用PCB聞名(車用板占營收約63%)，近年擴展AI伺服器
尖點,8021,PCB／載板／材料,PCB 設備·耗材,鑽孔,上游,PCB用精密微型鑽針、鑽孔服務,PCB,全球第二大PCB鑽針製造商，市占約10-15%
大量,3167,PCB／載板／材料,PCB 設備·耗材,鑽孔,上游,PCB鑽孔機/CNC雕銑設備,PCB,亦屬：半導體設備。正式名稱大量科技(Taliang Technology)；原名單股票代號誤植為3617，已查證更正為3167（3617為碩天科技，無關公司）
鈦昇,8027,PCB／載板／材料,PCB 設備·耗材,鑽孔,上游,雷射切割/鑽孔、電漿清洗設備,PCB;IC 載板,亦屬：半導體設備。主要客戶為台積電、日月光等先進封裝供應鏈，PCB僅為多元應用之一
志聖,2467,PCB／載板／材料,PCB 設備·耗材,製程設備,上游,壓合/貼膜/烘烤設備,PCB;IC 載板,亦屬：半導體設備。營收結構已轉變為半導體44%、先進PCB 29%、PCB 18%，傳統PCB占比持續下滑
敘豐,3485,PCB／載板／材料,PCB 設備·耗材,製程設備,上游,IC載板濕製程設備,IC 載板,產品為FC-BGA/ABF載板濕製程設備。亦屬：半導體設備。客戶集中於欣興集團，2023-2025年占比94%~99.6%
長廣,7795,PCB／載板／材料,PCB 設備·耗材,製程設備,上游,IC載板真空壓膜機設備,IC 載板;PCB,長興材料集團旗下，日商Nikko-Materials持股100%，全球IC載板真空壓膜設備市占約95%，2026年初上市（原「完全待查」，Step 1已查證確認分類，本次規則未覆寫，維持此分類）
由田,3455,PCB／載板／材料,PCB 設備·耗材,檢測設備,上游,自動光學檢測(AOI)設備,PCB,亦屬：半導體；自動化／機械。兩岸最大AOI設備商，產品線橫跨半導體/面板/PCB，非PCB專屬
德律,3030,PCB／載板／材料,PCB 設備·耗材,檢測設備,上游,AOI光學檢測、ATE測試設備,PCB,亦屬：半導體。AOI占營收75%、ATE占25%，近期打入NVIDIA/日月光供應鏈
國巨*,2327,被動元件,被動元件,積層陶瓷·電阻,上游,MLCC、晶片電阻、鉭質電容,PCB;系統／伺服器;電源／電池／連接,全球第三大MLCC廠、第一大鉭質電容廠
華新科,2492,被動元件,被動元件,積層陶瓷·電阻,上游,MLCC、晶片電阻,PCB;系統／伺服器;網通設備,台灣第二大被動元件廠，MLCC全球市占約15%
禾伸堂,3026,被動元件,被動元件,積層陶瓷·電阻,上游,MLCC(NP0高壓)、電感,電源／電池／連接;系統／伺服器;PCB,亦屬：半導體（同時生產二極體、MOSFET、SiC等分離元件）
信昌電,6173,被動元件,被動元件,積層陶瓷·電阻,上游,MLCC(大尺寸高壓)、晶片電阻,電源／電池／連接;系統／伺服器;網通設備,華新科集團子公司，MLCC占營收約68%
光頡,3624,被動元件,被動元件,積層陶瓷·電阻,上游,精密電阻(薄膜/厚膜)、高頻電感,PCB;系統／伺服器;電源／電池／連接,利基型精密電阻
金山電,8042,被動元件,被動元件,電解·固態電容,上游,鋁質電解電容器(液態/固態),電源／電池／連接;系統／伺服器;PCB,
鈺邦,6449,被動元件,被動元件,電解·固態電容,上游,鋁質固態電容,系統／伺服器;電源／電池／連接;PCB,V-Chip為NVIDIA GB200/300 AI伺服器關鍵料件
雙鴻,3324,散熱,散熱,散熱模組,中游,氣冷散熱模組、水冷板、CDU,系統／伺服器,客戶含Meta、Supermicro、Google、Dell
奇鋐,3017,散熱,散熱,散熱模組,中游,散熱風扇、VC均熱板、水冷模組,系統／伺服器,已打入NVIDIA GB200供應鏈
健策,3653,散熱,散熱,均熱片·導線架,中游,均熱片、ILM扣件、液冷模組,封測;系統／伺服器,亦屬：半導體（均熱片直接用於台積電3D封裝製程）
大立光,3008,光學／觸控,光學／觸控,鏡頭,上游,光學鏡頭模組、觀景器模組製造,系統／伺服器,全球最大手機鏡頭廠
玉晶光,3406,光學／觸控,光學／觸控,鏡頭,上游,光學鏡頭鏡片製造、LED照明,系統／伺服器,主力手機鏡頭，另有LED照明產品線
聯一光,3441,光學／觸控,光學／觸控,鏡頭,上游,光學玻璃、鏡片、鏡頭毛胚製造,光學／觸控,光學供應鏈最上游原料/毛胚供應商，供貨給其他鏡頭/模組廠
正達,3149,光學／觸控,光學／觸控,玻璃·觸控,上游,光學玻璃、電子零組件製造,光學／觸控,苗栗銅鑼廠區，生產光電玻璃及玻璃製品
TPK-KY,3673,光學／觸控,光學／觸控,玻璃·觸控,中游,觸控感測器、觸控模組、ITO玻璃,系統／伺服器,觸控面板大廠，整合ITO玻璃/感測器為觸控模組
台達電,2308,電源／電池／連接,電源／電池／連接,電源供應,中游,電源供應器、散熱風扇、自動化設備,系統／伺服器,亦屬：散熱；自動化／機械
光寶科,2301,電源／電池／連接,電源／電池／連接,電源供應,中游,電源供應器、LED光電、週邊設備,系統／伺服器,亦屬：光學／觸控（LED光電、相機模組等業務）
順達,3211,電源／電池／連接,電源／電池／連接,電池模組,中游,筆電/伺服器/電動車電池模組製造,系統／伺服器,英文名Dynapack，屬電芯下游、系統上游之中游角色
新盛力,4931,電源／電池／連接,電源／電池／連接,電池模組,中游,AI伺服器/電動工具鋰電池模組,系統／伺服器,鋰電池模組占營收99.3%
AES-KY,6781,電源／電池／連接,電源／電池／連接,電池模組,中游,鋰電池模組研發生產銷售,系統／伺服器,鋰電池模組占營收99.7%
嘉澤,3533,電源／電池／連接,電源／電池／連接,連接器·線束,中游,電子連接器製造,系統／伺服器,品牌LOTES，伺服器/主機板關鍵連接元件供應商
貿聯-KY,3665,電源／電池／連接,電源／電池／連接,連接器·線束,中游,連接器、線材、汽車/醫療接線組,系統／伺服器,品牌BizLink，業務涵蓋連接器、線材、光電子元件
穩得,6761,電源／電池／連接,電源／電池／連接,EMC·保護元件,中游,EMC及線路保護元件銷售、認證測試服務,電源／電池／連接;系統／伺服器,使用者確認維持列於電源／電池／連接族群（與台達電、新盛力同組），不移至被動元件
華城,1519,電力設備,電力設備,,中游,變壓器、配電盤、統包工程,系統／伺服器,資料中心與電網升級題材指標股
中興電,1513,電力設備,電力設備,,中游,輸配電設備、節能空調、氫能發電,系統／伺服器,另跨足氫能發電暨產氫系統
上銀,2049,自動化／機械,自動化／機械,傳動元件,上游,滾珠螺桿、線性滑軌等精密傳動元件,自動化／機械;半導體設備,HIWIN，應用於工具機、機器人、半導體與面板設備
大銀微系統,4576,自動化／機械,自動化／機械,傳動元件,上游,精密運動控制元件、微奈米定位系統,自動化／機械;半導體設備,HIWIN MIKROSYSTEM
盟立,2464,自動化／機械,自動化／機械,自動化整合,中游,自動化設備系統整合、產線設備,半導體設備;系統／伺服器,客戶涵蓋半導體、面板等產業產線
智邦,2345,網通／系統,網通設備,,中游,乙太網路交換器、白牌交換器,終端品牌／雲端服務商,全球白牌交換器龍頭，直接出貨Meta/Amazon/Google
智易,3596,網通／系統,網通設備,,中游,寬頻CPE、5G FWA裝置,終端品牌／雲端服務商,主要客戶為電信營運商/ISP
啟碁,6285,網通／系統,網通設備,,中游,網通設備、車用電子、衛星終端,終端品牌／雲端服務商,緯創集團旗下，含LEO衛星地面終端
研華,2395,網通／系統,工業電腦,,中游,工業電腦、嵌入式運算平台,終端品牌／雲端服務商,全球工業電腦龍頭
樺漢,6414,網通／系統,工業電腦,,中游,工業電腦、嵌入式系統,終端品牌／雲端服務商,鴻海集團旗下，營收100%來自產業電腦軟硬體
緯創,3231,網通／系統,系統／伺服器,,中游,筆電、伺服器、AI伺服器代工,終端品牌／雲端服務商,營運重心已轉向AI伺服器/資料中心設備
緯穎,6669,網通／系統,系統／伺服器,,中游,雲端伺服器、機架、液冷系統,終端品牌／雲端服務商,緯創子公司，直接對Meta/Microsoft/AWS出貨
華碩,2357,網通／系統,系統／伺服器,,下游,筆電、主機板、AI伺服器,終端品牌／雲端服務商,本身即為終端品牌，非純ODM；ISG企業/AI伺服器業務年增190%
台化,1326,石化上游,石化上游,,上游,PX、PTA、聚酯、ABS塑膠原料,石化中下游加工業,台塑集團核心石化廠，全名台灣化學纖維
台塑化,6505,石化上游,石化上游,,上游,煉油、乙烯等石化基本原料,石化中下游加工業,台灣第一家民營石油煉製業者，全名台塑石化
泰藝,8289,被動元件,石英元件·頻率控制元件,,上游,石英晶體、振盪器,網通設備;系統／伺服器,經官網(taitien.com)查證確認為石英晶體/頻率控制元件廠（晶技/加高/希華同業），使用者確認維持此分類
強茂,2481,半導體,分離式半導體,,中游,二極體、整流器等分離式半導體製造,電源／電池／連接;電力設備,功率半導體IDM廠，應用於電動車、太陽能/風電、充電樁、儲能系統、AI伺服器電源
德微,3675,半導體,分離式半導體,,上游,整流二極體設計製造與晶圓檢測,電源／電池／連接,全名德微科技(Eris Technology)，1995年成立，2012年上櫃
台半,5425,半導體,分離式半導體,,上游,整流二極體、MOSFET、IGBT製造,電源／電池／連接,全名台灣半導體股份有限公司，1979年成立，客戶含Samsung、Sony、Osram、BOSCH
富鼎,8261,半導體,分離式半導體,,上游,功率MOSFET IC設計,電源／電池／連接;被動元件,全名富鼎先進電子(國巨集團)，Fabless IC設計模式，與強茂/德微/台半的IDM製造模式不同
晶技,3042,被動元件,石英元件·頻率控制元件,,上游,石英晶體、振盪器,網通設備;系統／伺服器,1983年成立，2002年上市，台灣石英元件龍頭廠
加高,8182,被動元件,石英元件·頻率控制元件,,上游,石英振盪器、陶瓷共振器,網通設備;系統／伺服器,1976年成立，2006年上櫃，產品與晶技/希華高度重疊
希華,2484,被動元件,石英元件·頻率控制元件,,上游,石英晶體、振盪器,網通設備;系統／伺服器,全名希華晶體科技(SIWARD)，1988年成立，2001年上市
界霖,5285,半導體,上游材料,封裝材料·導線架,上游,半導體導線架、精密模具製造,封測,全名界霖科技，2000年成立，2014年上市，TWSE官方產業分類即為半導體業
順德,2351,半導體,上游材料,封裝材料·導線架,上游,半導體導線架、精密模具,封測,⚠️分類疑慮：使用者原意可能是散熱風扇/馬達廠，但查證結果（cnyes+維基百科雙重確認）顯示2351順德工業(SDI Corporation)主要業務是半導體導線架與精密模具，並非風扇或馬達製造商，與建準、AVC、奇鋐等散熱風扇廠無關聯，請使用者確認原始資料來源是否指的是另一家公司
長華科技,6548,半導體,上游材料,封裝材料·導線架,上游,半導體導線架(Leadframe)製造,封測,原名單簡稱「長科*」，查證後確認為長華科技股份有限公司，2009年成立、2016年上市，與面板產業無關（原先擔心與群創/友達/彩晶同批查詢而誤判為面板廠，已排除）
高力,8996,散熱,工業熱交換設備,,中游,板式熱交換器、工業溫控設備,,⚠️分類疑慮：使用者原意可能是散熱風扇/馬達廠，但查證結果顯示8996高力熱處理工業(KAORI HEAT TREATMENT)主要業務是板式熱交換器/廠務溫控設備，應用於半導體廠務、石化、HVAC空調系統，並非電子產品用散熱風扇或馬達，未查到另一家做風扇/馬達且簡稱「高力」的台股上市櫃公司，請使用者確認原始資料來源是否誤植
信驊,5274,半導體,IC設計,,中游,BMC遠端伺服器管理晶片設計,系統／伺服器,全球BMC市占逾七成，客戶含Dell、HPE、Supermicro
新唐,4919,半導體,IC設計,,中游,MCU、音訊/雲端IC設計,系統／伺服器;網通設備,亦屬：晶圓代工（2020年收購Panasonic半導體資產後擁自有晶圓廠並對外代工）。2008年自華邦電子分割成立，產品線橫跨MCU/音訊IC/雲端運算IC/TPM安全晶片
聯電,2303,半導體,晶圓代工,,中游,晶圓代工、邏輯/混合訊號製程,IC設計,全球第二大純晶圓代工廠，另於NYSE掛牌(ADR:UMC)
世界,5347,半導體,晶圓代工,,中游,積體電路晶圓代工、封測、光罩,IC設計,全名世界先進積體電路(Vanguard International)，台積電集團成員，上櫃
川湖,2059,網通／系統,伺服器機構件,,中游,伺服器滑軌、精密導軌五金,系統／伺服器,自有品牌King Slide，全球伺服器滑軌市占約八成。⚠️分類疑慮：此為精密機構零件廠，非現行12大產業中任何一類的典型代表，暫列為網通／系統下的新族群「伺服器機構件」，請使用者確認是否合適，或考慮獨立為新產業「機構件／結構零組件」
南俊國際,6584,網通／系統,伺服器機構件,,中游,伺服器/家具/廚具滑軌五金,系統／伺服器,自有品牌Repon，與川湖為直接同業競爭對手，惟產品線比川湖更廣泛跨足家具/廚具等非科技應用，伺服器業務占營收比重待查證。分類疑慮同川湖
廣達,2382,網通／系統,系統／伺服器,,下游,伺服器/筆電ODM代工、雲端硬體,,台灣前段ODM代工大廠，客戶為終端品牌(華碩/宏碁/HP/Dell/Apple)及Google/Meta等雲端業者，屬供應鏈末端系統廠，故供應對象留空
群創,3481,顯示面板,顯示面板,,中游,TFT-LCD面板製造,消費電子,面板五虎之一。使用者確認獨立為新產業「顯示面板」，不再併入光學／觸控
友達,2409,顯示面板,顯示面板,,中游,TFT-LCD/AMOLED面板製造,消費電子,產品線含LTPS、AMOLED及整合觸控面板，另跨足太陽能。使用者確認獨立為新產業「顯示面板」
彩晶,6116,顯示面板,顯示面板,,中游,LCD平面顯示器/監視器製造,消費電子,全名瀚宇彩晶，主力偏中小尺寸面板及監視器，規模明顯小於群創/友達。使用者確認獨立為新產業「顯示面板」
